P/G,Vantagem,Capitais,Especiais,Demais
Cel,7/ADT-ANTERIOR A 1ºSET07,"1.223,02","1.223,02","1.223,02"
Cel,6/ADT-ANTERIOR A 1ºSET07,"1.151,08","1.151,08","1.151,08"
Cel,7/ADT-POSTERIOR A 1ºSET07,"1.177,24","1.177,24","1.177,24"
Cel,6/ADT-POSTERIOR A 1ºSET07,"1.111,84","1.111,84","1.111,84"
Cel,6,"1.046,44","1.046,44","1.046,44"
Cel,5,"981,04","981,04","981,04"
Cel,4,"915,63","915,63","915,63"
Cel,3,"850,23","850,23","850,23"
Cel,2,"784,83","784,83","784,83"
Cel,1,"719,43","719,43","719,43"
Cel,0,"654,02","654,02","654,02"
Ten Cel,7/ADT-ANTERIOR A 1ºSET07,"1.103,18","1.103,18","1.103,18"
Ten Cel,6/ADT-ANTERIOR A 1ºSET07,"1.038,29","1.038,29","1.038,29"
Ten Cel,7/ADT-POSTERIOR A 1ºSET07,"1.061,89","1.061,89","1.061,89"
Ten Cel,6/ADT-POSTERIOR A 1ºSET07,"1.002,89","1.002,89","1.002,89"
Ten Cel,6,"943,9","943,9","943,9"
Ten Cel,5,"884,91","884,91","884,91"
Ten Cel,4,"825,91","825,91","825,91"
Ten Cel,3,"766,92","766,92","766,92"
Ten Cel,2,"707,93","707,93","707,93"
Ten Cel,1,"648,93","648,93","648,93"
Ten Cel,0,"589,94","589,94","589,94"
Maj,7/ADT-ANTERIOR A 1ºSET07,"983,3","983,3","983,3"
Maj,6/ADT-ANTERIOR A 1ºSET07,"925,46","925,46","925,46"
Maj,7/ADT-POSTERIOR A 1ºSET07,"946,5","946,5","946,5"
Maj,6/ADT-POSTERIOR A 1ºSET07,"893,91","893,91","893,91"
Maj,6,"841,33","841,33","841,33"
Maj,5,"788,75","788,75","788,75"
Maj,4,"736,16","736,16","736,16"
Maj,3,"683,58","683,58","683,58"
Maj,2,631,631,631
Maj,1,"578,41","578,41","578,41"
Maj,0,"525,83","525,83","525,83"
Cap,7/ADT-ANTERIOR A 1ºSET07,"910,19","910,19","910,19"
Cap,6/ADT-ANTERIOR A 1ºSET07,"856,65","856,65","856,65"
Cap,7/ADT-POSTERIOR A 1ºSET07,"876,12","876,12","876,12"
Cap,6/ADT-POSTERIOR A 1ºSET07,"827,45","827,45","827,45"
Cap,6,"778,77","778,77","778,77"
Cap,5,"730,1","730,1","730,1"
Cap,4,"681,43","681,43","681,43"
Cap,3,"632,75","632,75","632,75"
Cap,2,"584,08","584,08","584,08"
Cap,1,"535,41","535,41","535,41"
Cap,0,"486,73","486,73","486,73"
1º Ten,7/ADT-ANTERIOR A 1ºSET07,"809,76","809,76","809,76"
1º Ten,6/ADT-ANTERIOR A 1ºSET07,"762,13","762,13","762,13"
1º Ten,7/ADT-POSTERIOR A 1ºSET07,"779,45","779,45","779,45"
1º Ten,6/ADT-POSTERIOR A 1ºSET07,"736,15","736,15","736,15"
1º Ten,6,"692,85","692,85","692,85"
1º Ten,5,"649,54","649,54","649,54"
1º Ten,4,"606,24","606,24","606,24"
1º Ten,3,"562,94","562,94","562,94"
1º Ten,2,"519,63","519,63","519,63"
1º Ten,1,"476,33","476,33","476,33"
1º Ten,0,470,"433,03","433,03"
2º Ten,7/ADT-ANTERIOR A 1ºSET07,"687,98","687,98","687,98"
2º Ten,6/ADT-ANTERIOR A 1ºSET07,"647,51","647,51","647,51"
2º Ten,7/ADT-POSTERIOR A 1ºSET07,"662,23","662,23","662,23"
2º Ten,6/ADT-POSTERIOR A 1ºSET07,"625,44","625,44","625,44"
2º Ten,6,"588,65","588,65","588,65"
2º Ten,5,"551,86","551,86","551,86"
2º Ten,4,"515,07","515,07","515,07"
2º Ten,3,"478,28","478,28","478,28"
2º Ten,2,470,"441,49","441,49"
2º Ten,1,470,"404,7","404,7"
2º Ten,0,470,"367,91","367,91"
Asp,7/ADT-ANTERIOR A 1ºSET07,618,618,618
